Month,Hour,Forward_Price,Year,Predicted_Forward_2025
1,17,119.5,2025,119.4250772
1,18,119.5,2025,119.4250772
1,19,119.5,2025,119.4250772
1,20,119.5,2025,119.4250772
1,21,119.5,2025,119.4250772
1,22,119.5,2025,119.4250772
1,23,98.75,2025,107.4421132
1,24,98.75,2025,98.73102037
1,1,98.75,2025,98.71417567
1,2,98.75,2025,98.69884141
1,3,98.75,2025,98.6992359
1,4,98.75,2025,98.6992359
1,5,98.75,2025,98.6992359
1,6,98.75,2025,98.6992359
1,7,119.5,2025,110.6821999
1,8,119.5,2025,119.4794375
1,9,119.5,2025,119.4250772
1,10,119.5,2025,119.4250772
1,11,119.5,2025,119.4250772
1,12,119.5,2025,119.4250772
1,13,119.5,2025,119.4250772
1,14,119.5,2025,119.4250772
1,15,119.5,2025,119.4250772
1,16,119.5,2025,119.4250772
1,17,119.5,2025,119.4250772
1,18,119.5,2025,119.4250772
1,19,119.5,2025,119.4250772
1,20,119.5,2025,119.4250772
1,21,119.5,2025,119.4250772
1,22,119.5,2025,119.4250772
1,23,98.75,2025,107.4421132
1,24,98.75,2025,98.73102037
1,1,98.75,2025,98.71417567
1,2,98.75,2025,98.69884141
1,3,98.75,2025,98.6992359
1,4,98.75,2025,98.6992359
1,5,98.75,2025,98.6992359
1,6,98.75,2025,98.6992359
1,7,119.5,2025,110.6821999
1,8,119.5,2025,119.4794375
1,9,119.5,2025,119.4250772
1,10,119.5,2025,119.4250772
1,11,119.5,2025,119.4250772
1,12,119.5,2025,119.4250772
1,13,119.5,2025,119.4250772
1,14,119.5,2025,119.4250772
1,15,119.5,2025,119.4250772
1,16,119.5,2025,119.4250772
1,17,119.5,2025,119.4250772
1,18,119.5,2025,119.4250772
1,19,119.5,2025,119.4250772
1,20,119.5,2025,119.4250772
1,21,119.5,2025,119.4250772
1,22,119.5,2025,119.4250772
1,23,98.75,2025,107.4421132
1,24,98.75,2025,98.73102037
1,1,98.75,2025,98.71417567
1,2,98.75,2025,98.69884141
1,3,98.75,2025,98.6992359
1,4,98.75,2025,98.6992359
1,5,98.75,2025,98.6992359
1,6,98.75,2025,98.6992359
1,7,119.5,2025,110.6821999
1,8,119.5,2025,119.4794375
1,9,119.5,2025,119.4250772
1,10,119.5,2025,119.4250772
1,11,119.5,2025,119.4250772
1,12,119.5,2025,119.4250772
1,13,119.5,2025,119.4250772
1,14,119.5,2025,119.4250772
1,15,119.5,2025,119.4250772
1,16,119.5,2025,119.4250772
1,17,119.5,2025,119.4250772
1,18,119.5,2025,119.4250772
1,19,119.5,2025,119.4250772
1,20,119.5,2025,119.4250772
1,21,119.5,2025,119.4250772
1,22,119.5,2025,119.4250772
1,23,98.75,2025,107.4421132
1,24,98.75,2025,98.73102037
1,1,98.75,2025,98.71417567
1,2,98.75,2025,98.69884141
1,3,98.75,2025,98.6992359
1,4,98.75,2025,98.6992359
1,5,98.75,2025,98.6992359
1,6,98.75,2025,98.6992359
1,7,119.5,2025,110.6821999
1,8,119.5,2025,119.4794375
1,9,119.5,2025,119.4250772
1,10,119.5,2025,119.4250772
1,11,119.5,2025,119.4250772
1,12,119.5,2025,119.4250772
1,13,119.5,2025,119.4250772
1,14,119.5,2025,119.4250772
1,15,119.5,2025,119.4250772
1,16,119.5,2025,119.4250772
1,17,119.5,2025,119.4250772
1,18,119.5,2025,119.4250772
1,19,119.5,2025,119.4250772
1,20,119.5,2025,119.4250772
1,21,119.5,2025,119.4250772
1,22,119.5,2025,119.4250772
